id_site,site_type,latitude,longitude,water_temp,water_salinity,water_ph,dis_oxig,enterococoe,Timestamp,Hour,status
1.0,1.0,26.022198,-111.344895,26.0,32.0,6.74,6.33,594.0,1562371200.0,9.0,0.0
1.0,1.0,25.972652,-111.353132,27.0,32.0,6.74,6.33,722.0,1562371200.0,10.133333333333333,0.0
2.0,1.0,26.056492,-111.329012,26.0,32.0,6.74,6.33,323.0,1562371200.0,9.75,0.0
4.0,1.0,25.741846,-111.258535,28.0,33.0,6.74,6.33,767.0,1562371200.0,11.75,0.0
6.0,2.0,26.013386,-111.339279,23.55,32.6,7.98,6.9,790.0,1402012800.0,11.233333333333333,0.0
6.0,2.0,26.013386,-111.339279,27.41,32.1,8.07,6.9,9600.0,1403049600.0,11.133333333333333,0.0
6.0,2.0,26.013386,-111.339279,28.26,31.0,8.02,5.94,618.0,1411516800.0,9.966666666666669,0.0
6.0,2.0,26.013386,-111.339279,27.07,32.1,7.32,6.01,10112.0,1414454400.0,11.066666666666666,0.0
6.0,2.0,26.013386,-111.339279,27.5,32.4,8.13,5.94,240.0,1447027200.0,9.016666666666667,0.0
6.0,2.0,26.013386,-111.339279,19.5,32.5,7.23,6.74,3130.0,1444608000.0,9.866666666666667,0.0
6.0,2.0,26.013386,-111.339279,20.81,33.0,7.58,6.08,917.0,1452729600.0,9.65,0.0
6.0,2.0,26.013386,-111.339279,24.09,34.4,6.68,8.52,10112.0,1463616000.0,10.716666666666669,0.0
6.0,2.0,26.013386,-111.339279,22.7,32.9,6.63,6.8,10112.0,1491350400.0,10.55,0.0
6.0,2.0,26.013386,-111.339279,17.5,32.0,6.63,6.8,10112.0,1495065600.0,9.533333333333331,0.0
6.0,2.0,26.013386,-111.339279,25.0,31.0,6.7,6.9,4569.0,1497484800.0,9.633333333333333,0.0
6.0,2.0,26.013386,-111.339279,34.0,32.0,6.82,6.09,1246.0,1488931200.0,10.45,0.0
6.0,2.0,26.013386,-111.339279,32.0,32.0,6.96,5.94,983.0,1505347200.0,9.266666666666667,0.0
6.0,2.0,26.013386,-111.339279,16.0,32.0,7.58,6.08,487.0,1516320000.0,9.5,0.0
6.0,2.0,26.013386,-111.339279,16.5,33.5,7.2,6.08,809.0,1535846400.0,9.45,0.0
20.0,2.0,25.814849,-111.31232,27.0,33.6,7.96,6.9,9139.0,1402012800.0,6.783333333333333,0.0
20.0,2.0,25.814849,-111.31232,26.0,32.1,7.31,6.01,8297.0,1407628800.0,7.566666666666666,0.0
20.0,2.0,25.814849,-111.31232,27.5,33.0,7.3,6.01,537.0,1420848000.0,6.466666666666667,0.0
20.0,2.0,25.814849,-111.31232,26.9,33.0,7.3,6.01,550.0,1445644800.0,7.75,0.0
20.0,2.0,25.814849,-111.31232,25.0,32.0,6.7,6.9,10112.0,1497484800.0,8.0,0.0
20.0,2.0,25.814849,-111.31232,33.0,31.0,6.82,6.09,1246.0,1488931200.0,8.75,0.0
20.0,2.0,25.814849,-111.31232,32.0,32.5,6.96,5.94,983.0,1505347200.0,7.666666666666667,0.0
23.0,4.0,26.025014,-111.344708,24.2,32.8,8.1,6.9,536.0,1402012800.0,10.75,0.0
23.0,4.0,26.025014,-111.344708,29.47,30.0,8.57,5.94,10112.0,1411516800.0,10.233333333333333,0.0
23.0,4.0,26.025014,-111.344708,28.71,31.7,7.28,6.01,9606.0,1407628800.0,10.1,0.0
23.0,4.0,26.025014,-111.344708,28.17,30.6,7.25,6.01,9606.0,1414454400.0,11.75,0.0
24.0,3.0,25.930998,-111.356266,31.7,33.6,7.88,6.33,210.0,1406678400.0,10.433333333333334,0.0
24.0,3.0,25.930998,-111.356266,26.03,24.7,7.14,6.01,7556.0,1407628800.0,8.516666666666667,0.0
21.0,3.0,26.001124,-111.337404,22.5,33.3,7.99,6.9,9600.0,1403049600.0,12.25,0.0
21.0,3.0,26.001124,-111.337404,30.81,29.5,7.92,6.33,9600.0,1391731200.0,12.366666666666667,0.0
21.0,3.0,26.001124,-111.337404,28.01,32.2,8.01,5.94,1008.0,1411516800.0,9.683333333333334,0.0
21.0,3.0,26.001124,-111.337404,27.64,32.2,7.33,6.01,9139.0,1407628800.0,9.6,0.0
21.0,3.0,26.001124,-111.337404,26.79,32.2,7.32,6.01,10112.0,1414454400.0,10.883333333333333,0.0
21.0,3.0,26.001124,-111.337404,24.9,34.5,6.81,6.77,5335.0,1463616000.0,10.5,0.0
21.0,3.0,26.001124,-111.337404,19.0,32.0,7.58,6.08,10112.0,1496275200.0,9.3,0.0
21.0,3.0,26.001124,-111.337404,24.0,31.0,6.7,6.9,10112.0,1497484800.0,9.583333333333334,0.0
7.0,3.0,26.0165,-111.340808,23.5,32.5,7.95,6.9,1292.0,1402012800.0,11.15,0.0
7.0,3.0,26.0165,-111.340808,27.75,32.8,8.0,6.9,7915.0,1403049600.0,11.016666666666667,0.0
7.0,3.0,26.0165,-111.340808,27.27,29.9,7.31,6.01,10112.0,1414454400.0,11.133333333333333,0.0
7.0,3.0,26.0165,-111.340808,27.5,32.4,8.13,5.94,230.0,1447027200.0,9.3,0.0
7.0,3.0,26.0165,-111.340808,19.5,33.0,7.23,6.74,1561.0,1444608000.0,10.166666666666666,0.0
7.0,3.0,26.0165,-111.340808,24.35,34.8,6.88,6.8,10112.0,1463616000.0,10.866666666666667,0.0
7.0,3.0,26.0165,-111.340808,16.0,32.0,7.58,6.08,683.0,1516320000.0,9.6,0.0
7.0,3.0,26.0165,-111.340808,16.5,34.0,7.2,6.08,1054.0,1535846400.0,9.583333333333334,0.0
7.0,3.0,26.007668,-111.338406,16.5,33.5,7.2,6.08,663.0,1535846400.0,9.316666666666666,0.0
7.0,3.0,26.0165,-111.340808,28.0,30.0,6.74,6.33,8664.0,1564099200.0,9.083333333333334,0.0
8.0,3.0,26.022352,-111.344335,27.85,32.5,7.94,6.9,9139.0,1403049600.0,10.9,0.0
8.0,3.0,26.022352,-111.344335,30.1,32.9,7.96,6.33,10112.0,1405468800.0,10.8,0.0
8.0,3.0,26.022352,-111.344335,31.72,32.8,7.98,6.33,282.0,1406678400.0,12.45,0.0
8.0,3.0,26.022352,-111.344335,27.96,32.2,7.38,6.01,7556.0,1407628800.0,9.983333333333333,0.0
8.0,3.0,26.022352,-111.344335,28.21,32.8,8.07,5.94,10112.0,1411516800.0,10.133333333333333,0.0
8.0,3.0,26.022352,-111.344335,27.5,32.4,8.13,5.94,201.0,1447027200.0,9.416666666666666,0.0
8.0,3.0,26.022352,-111.344335,20.81,33.0,7.58,6.08,1000.0,1452729600.0,10.283333333333331,0.0
9.0,3.0,26.058156,-111.3283,28.62,32.6,7.81,5.94,10112.0,1411516800.0,10.45,0.0
8.0,3.0,26.022352,-111.344335,28.0,32.0,6.74,6.33,1607.0,1564099200.0,8.95,0.0
9.0,3.0,26.058156,-111.3283,20.32,31.8,7.58,6.08,437.0,1398988800.0,12.433333333333334,0.0
9.0,3.0,26.058156,-111.3283,24.2,32.5,7.75,6.9,1076.0,1402012800.0,10.466666666666669,0.0
9.0,3.0,26.058156,-111.3283,28.93,33.0,8.06,6.33,9600.0,1391731200.0,11.4,0.0
9.0,3.0,26.058156,-111.3283,32.15,32.3,8.07,6.33,9600.0,1405468800.0,10.316666666666666,0.0
9.0,3.0,26.058156,-111.3283,31.54,32.4,8.13,6.33,203.0,1406678400.0,12.766666666666667,0.0
15.0,3.0,25.922304,-111.347746,26.82,33.1,8.03,5.94,10112.0,1411516800.0,8.633333333333333,0.0
9.0,3.0,26.058156,-111.3283,20.81,32.5,7.58,6.08,408.0,1452729600.0,10.65,0.0
9.0,3.0,26.058156,-111.3283,19.0,30.0,7.03,6.69,6015.0,1501718400.0,10.316666666666666,0.0
9.0,3.0,26.058156,-111.3283,34.0,33.5,6.82,6.09,1354.0,1502928000.0,10.2,0.0
9.0,3.0,26.058156,-111.3283,21.0,32.0,9.8,7.62,545.0,1551744000.0,8.55,0.0
9.0,3.0,26.058156,-111.3283,28.0,31.0,6.74,6.33,241.0,1564099200.0,8.666666666666666,0.0
10.0,3.0,26.082873,-111.323868,20.04,31.8,7.6,6.08,908.0,1391212800.0,12.116666666666667,0.0
